qc_id,fid,nome_lugar,cdgo16_11_,nome_mapa,capitalcon,capitalpro,cabeceraco,capitalaut,icon_url
206,8643,Lavandeira,"27057200100",Lavandeira,Non,Non,Non,Non,
207,14882,"Sisto, O","27057200300",O Sisto,Non,Non,Non,Non,
208,2502,Vilar,2705727-99,Vilar,Non,Non,Non,Non,
209,30438,Vilarello,"27057270101",Vilarello,Non,Non,Non,Non,
210,14158,Vilanova,"27057200400",Vilanova,Non,Non,Non,Non,
211,702,Abuín,2705720-99,Abuín,Non,Non,Non,Non,
212,17030,Sabadelle,"27057200200",Sabadelle,Non,Non,Non,Non,
213,12696,"Caritel, O","27057180200",O Caritel,Non,Non,Non,Non,
214,3504,Guitián,"27057180300",Guitián,Non,Non,Non,Non,
215,20000,Fondo de Vila,"27057330100",Fondo de Vila,Non,Non,Non,Non,
216,1521,Mezur,"27057340300",Mezur,Non,Non,Non,Non,
217,29187,Fontela,"27057330200",Fontela,Non,Non,Non,Non,
218,22241,Teilonxe,"27057180500",Teilonxe,Non,Non,Non,Non,
219,12700,San Salvador,"27057330400",San Salvador,Non,Non,Non,Non,
220,19981,"Calvario, O","27057180100",O Calvario,Non,Non,Non,Non,
221,4944,Viladetrés,"27057330500",Viladetrés,Non,Non,Non,Non,
222,11951,"Pena, A","27057340100",A Pena,Non,Non,Non,Non,
223,34030,Rosende,"27057340200",Rosende,Non,Non,Non,Non,
224,37481,Penela,"27057330300",Penela,Non,Non,Non,Non,
225,37642,San Pedro,"27057180400",San Pedro,Non,Non,Non,Non,
226,38128,Vilaesteva,"27057180701",Vilaesteva,Non,Non,Non,Non,
227,20791,Vilar de Abaixo,"27057480600",Vilar de Abaixo,Non,Non,Non,Non,
228,24878,Vilanova,"27057480500",Vilanova,Non,Non,Non,Non,
229,19628,"Mazadoiro, O","27057380100",O Mazadoiro,Non,Non,Non,Non,
230,24303,"Raña, A",2705748-99,A Raña,Non,Non,Non,Non,
231,14057,"Rañoá, A","27057480300",A Rañoá,Non,Non,Non,Non,
232,8978,Treilán,"27057380300",Treilán,Non,Non,Non,Non,
233,22840,San Martiño,"27057380200",San Martiño,Non,Non,Non,Non,
234,17466,Betote de Arriba,"27057050201",Betote de Arriba,Non,Non,Non,Non,
235,14491,"Rego, O",2705705-99,O Rego,Non,Non,Non,Non,
236,20891,"Barrio, O",2705705-99,O Barrio,Non,Non,Non,Non,
237,10206,"Veiguiña, A","27057491000",A Veiguiña,Non,Non,Non,Non,
238,10720,"Ribeira, A","27057490800",A Ribeira,Non,Non,Non,Non,
239,225,Vilar,"27057491100",Vilar,Non,Non,Non,Non,
240,25136,Santo Alberte,"27057490900",Santo Alberte,Non,Non,Non,Non,
241,7321,Betote de Abaixo,"27057050100",Betote de Abaixo,Non,Non,Non,Non,
242,12330,Vilar de Sarria,"27057491201",Vilar de Sarria,Non,Non,Non,Non,
243,18062,"Mato, O","27057280200",O Mato,Non,Non,Non,Non,
244,9633,Santo Estevo,"27057250300",Santo Estevo,Non,Non,Non,Non,
245,11805,Vilarrairo,"27057491301",Vilarrairo,Non,Non,Non,Non,
246,21771,San Xulián,"27057430601",San Xulián,Non,Non,Non,Non,
247,19973,"Cruz de Toleiro, A",2705749-99,A Cruz de Toleiro,Non,Non,Non,Non,
248,16000,Redondelo,"27057250200",Redondelo,Non,Non,Non,Non,
249,26460,Airexe,"27057430100",Airexe,Non,Non,Non,Non,
250,5337,Céltigos,"27057440201",Céltigos,Non,Non,Non,Non,
251,13092,"Cruces, As","27057430300",As Cruces,Non,Non,Non,Non,
252,8843,Manán,"27057280101",Manán,Non,Non,Non,Non,
253,25900,Lezoce,"27057430401",Lezoce,Non,Non,Non,Non,
254,2992,"Feal, O",2705744-99,O Feal,Non,Non,Non,Non,
255,11804,"Castro dos Petos, O","27057490300",O Castro dos Petos,Non,Non,Non,Non,
256,10859,Carricova,2705743-99,Carricova,Non,Non,Non,Non,
257,29182,"Castro, O",2705705-99,O Castro,Non,Non,Non,Non,
258,32158,Airexe,2705744-99,Airexe,Non,Non,Non,Non,
259,32577,Tosal,"27057250400",Tosal,Non,Non,Non,Non,
260,32743,Agra do Regueiro,"27057491500",Agra do Regueiro,Non,Non,Non,Non,
261,34947,"Veiguiña, A",2705738-99,A Veiguiña,Non,Non,Non,Non,
262,35720,"Veiga, A","27057440401",A Veiga,Non,Non,Non,Non,
263,35890,"Montés, O","27057430500",O Montés,Non,Non,Non,Non,
264,35956,"Piñeiro, O","27057280300",O Piñeiro,Non,Non,Non,Non,
265,37275,Lousadela,"27057250100",Lousadela,Non,Non,Non,Non,
266,11936,"Acea de Arriba, A","27057370400",A Acea de Arriba,Non,Non,Non,Non,
267,8077,Vigo de Sarria,2705749-99,Vigo de Sarria,Non,Non,Non,Non,
268,5891,"Pacio, O","27057140400",O Pacio,Non,Non,Non,Non,
269,17063,Airexe,"27057490100",Airexe,Non,Non,Non,Non,
270,180,Agra de Vigo,"27057491400",Agra de Vigo,Non,Non,Non,Non,
271,8551,Vilasante,"27057160400",Vilasante,Non,Non,Non,Non,
272,2983,"Nogueira, A","27057490700",A Nogueira,Non,Non,Non,Non,
273,19644,"Polvoreiro, O","27057160200",O Polvoreiro,Non,Non,Non,Non,
274,3020,Outeiro,"27057140201",Outeiro,Non,Non,Non,Non,
275,3341,Arxevide,"27057100100",Arxevide,Non,Non,Non,Non,
276,22564,Fontao,"27057160100",Fontao,Non,Non,Non,Non,
277,14602,Regueiro,"27057160300",Regueiro,Non,Non,Non,Non,
278,22918,"Carballal, O","27057490200",O Carballal,Non,Non,Non,Non,
279,18744,San Pedro,2705708-99,San Pedro,Non,Non,Non,Non,
280,24619,Castelo,"27057090101",Castelo,Non,Non,Non,Non,
281,25924,Ribela,"27057500700",Ribela,Non,Non,Non,Non,
282,26851,"Cimo da Agra, O","27057490400",O Cimo da Agra,Non,Non,Non,Non,
283,28377,Mendrós,"27057490600",Mendrós,Non,Non,Non,Non,
284,35824,Vigo,"27057140300",Vigo,Non,Non,Non,Non,
285,19645,Lier,"27057220201",Lier,Non,Non,Non,Non,
286,6387,"Barxa, A","27057070200",A Barxa,Non,Non,Non,Non,
287,14733,Perros,"27057070300",Perros,Non,Non,Non,Non,
288,3353,San Mamede,"27057080200",San Mamede,Non,Non,Non,Non,
289,5530,Aguiada,"27057070101",Aguiada,Non,Non,Non,Non,
290,18568,Airexe,"27057080100",Airexe,Non,Non,Non,Non,
291,22554,Pintín,"27057070400",Pintín,Non,Non,Non,Non,
292,27192,"Cal, A","27057070500",A Cal,Non,Non,Non,Non,
293,35078,Mundín,"27057220300",Mundín,Non,Non,Non,Non,
294,35715,"Canceleiras, As","27057220100",As Canceleiras,Non,Non,Non,Non,
295,12901,"Agra, A","27057110100",A Agra,Non,Non,Non,Non,
296,24049,"Piñeiro, O",2705711-99,O Piñeiro,Non,Non,Non,Non,
297,19698,Corvelle,"27057110500",Corvelle,Non,Non,Non,Non,
298,14345,"Casanova, A","27057110300",A Casanova,Non,Non,Non,Non,
299,21488,Goimil,"27057420100",Goimil,Non,Non,Non,Non,
300,15435,"Pedroso, O","27057110700",O Pedroso,Non,Non,Non,Non,
301,27552,Airexe,"27057110200",Airexe,Non,Non,Non,Non,
302,4586,Santa Eufemia,2705740-99,Santa Eufemia,Non,Non,Non,Non,
303,26086,"Silva, A","27057110800",A Silva,Non,Non,Non,Non,
304,30709,Cima de Vila,"27057110400",Cima de Vila,Non,Non,Non,Non,
305,533,Barrido,2705742-99,Barrido,Non,Non,Non,Non,
306,17964,Pacio,2705740-99,Pacio,Non,Non,Non,Non,
307,10676,"Lama, A","27057110600",A Lama,Non,Non,Non,Non,
308,22445,Santo Antolín,"27057400100",Santo Antolín,Non,Non,Non,Non,
309,5643,Rubín,"27057390101",Rubín,Non,Non,Non,Non,
310,3948,Fontabuín,"27057440300",Fontabuín,Non,Non,Non,Non,
311,26394,Lence,2705723-99,Lence,Non,Non,Non,Non,
312,356,Louseiro,"27057230900",Louseiro,Non,Non,Non,Non,
313,17900,Sobrado,2705723-99,Sobrado,Non,Non,Non,Non,
314,25639,Pacio,2705723-99,Pacio,Non,Non,Non,Non,
315,20792,Sucarral,2705723-99,Sucarral,Non,Non,Non,Non,
316,1062,Formarigo,2705715-99,Formarigo,Non,Non,Non,Non,
317,447,"Cova, A",2705715-99,A Cova,Non,Non,Non,Non,
318,5110,Veiga,2705723-99,Veiga,Non,Non,Non,Non,
319,1063,Pumariño,2705715-99,Pumariño,Non,Non,Non,Non,
320,24874,Ferreiros,"27057150201",Ferreiros,Non,Non,Non,Non,
321,2834,"Brea, A","27057150100",A Brea,Non,Non,Non,Non,
322,4689,"Pereiro, O","27057150400",O Pereiro,Non,Non,Non,Non,
323,962,"Seixo, O",2705742-99,O Seixo,Non,Non,Non,Non,
324,5410,Aldea de Abaixo,2705715-99,Aldea de Abaixo,Non,Non,Non,Non,
325,448,Vilar,2705742-99,Vilar,Non,Non,Non,Non,
326,19346,Valín,2705742-99,Valín,Non,Non,Non,Non,
327,960,Roxo,2705715-99,Roxo,Non,Non,Non,Non,
328,19740,"Barrio, O",2705715-99,O Barrio,Non,Non,Non,Non,
329,15132,Reboredo,"27057420200",Reboredo,Non,Non,Non,Non,
330,33290,Airexe,2705715-99,Airexe,Non,Non,Non,Non,
331,33401,"Axeito, O",2705715-99,O Axeito,Non,Non,Non,Non,
332,34782,"Barrio, O",2705723-99,O Barrio,Non,Non,Non,Non,
333,35195,"Souto, O",2705723-99,O Souto,Non,Non,Non,Non,
334,36186,"Pedreiras, As",2705715-99,As Pedreiras,Non,Non,Non,Non,
335,36530,Cima de Vila,2705723-99,Cima de Vila,Non,Non,Non,Non,
336,36618,Outeiro,"27057150300",Outeiro,Non,Non,Non,Non,
337,36914,Seteventos,"27057420300",Seteventos,Non,Non,Non,Non,
